OP,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
+,7161,7609,8742,7747,6171,8424,1197,2078,4588,6827
+,9373,9095,7861,9760,5256,2224,9424,4698,3729,1371
+,9127,8153,5491,2383,4037,1458,475,5375,3043,1169
+,5683,8119,4794,3428,7498,250,1053,7318,7896,4016
+,1602,6994,5128,7689,2717,3267,506,4075,8975,6172
+,8931,2682,6521,7504,8869,3814,6785,5589,740,3740
-,6456,8591,3510,235,9364,1996,3212,696,8541,9887
+,5740,4299,9003,6683,4013,3521,692,1596,1443,8987
+,897,2942,6494,1972,6750,969,8370,5638,2131,6472
+,9656,85,3621,3584,6434,8139,7929,2843,3419,9382
+,7438,4005,6876,9808,7616,6847,739,404,7689,5441
+,5419,5072,2902,2591,7712,3590,7583,8753,725,2628
+,9124,2268,8051,595,4914,5431,3480,2622,6881,108
+,8386,5092,807,923,8018,7095,365,1601,5609,5726
+,8508,3884,4948,9917,7691,394,567,2054,4817,9317
+,6564,6880,3178,5298,8675,4004,4142,8794,9821,1973
+,326,2803,1791,4363,7077,8383,1463,1926,5743,845
-,5562,9673,1491,9165,835,1911,7226,4164,4159,8334
+,9564,6757,3204,8603,8040,7149,9732,8657,8061,4487
+,3248,3693,9532,2724,1023,5231,3425,3085,730,2311
+,8182,94,8970,8461,5944,187,128,6628,198,8316
+,9355,7352,345,6506,3997,7323,3143,4814,4996,3174
+,9713,4871,6350,8631,9730,5386,5754,8612,1934,8965
+,7752,593,3211,6928,7773,1122,712,4027,1439,7276
+,7037,2964,6852,1810,828,7000,4786,9991,3133,1204
+,7098,5617,7157,6503,7735,7350,2536,4478,8940,8841
+,5107,8215,1181,5969,4892,4766,7878,3670,891,7696
+,458,6086,3843,106,6760,3432,4083,2561,2953,1230
-,6027,5436,7772,9087,2959,9167,8464,5727,3154,4062
+,7609,4972,3171,9276,3236,5738,164,1404,9787,1275
+,9437,567,8623,6332,1599,9269,2787,3191,299,2559
+,7614,3859,9123,685,8279,2487,4246,8551,7179,8201
+,3067,1153,7877,9966,853,3217,9640,8141,593,3145
+,2363,7128,7131,6066,4941,1931,1576,8238,2551,268
+,3406,6103,1069,5241,1815,9222,1474,9959,9119,3464
+,3560,4494,2604,7623,5091,9111,8783,5107,9139,1311
+,2687,668,8545,8678,2179,7344,9541,695,5370,3702
+,3817,8232,4926,75,106,692,1720,4783,5397,4557
+,7100,8627,5938,1946,8218,382,5484,714,597,4528
-,5431,4451,2667,2558,3447,2050,2938,1638,816,8986
+,8760,6174,3978,4569,1159,6068,7574,8218,8293,1147
+,1278,8950,5348,244,4097,4421,261,7767,3644,3234
+,8027,5695,1335,9614,7965,3655,413,9944,4096,4383
+,7949,2692,7653,3692,3334,4939,2297,4888,7904,5763
+,6744,5488,8515,8688,9360,5070,363,1297,7100,7367
+,2598,3088,3197,5284,8341,8131,3721,963,4612,1197
+,7343,7670,9427,1896,2020,7090,2328,2654,881,6050
+,831,8296,8247,2566,5057,9629,6056,1247,9518,64
+,9867,6206,2,4128,3943,66,994,539,2410,9851
+,1506,3565,8954,7583,9204,9516,2323,1001,7272,15
-,2848,7507,5925,8200,2285,5066,7866,1393,4888,8960
+,9727,1752,7841,9322,6968,1561,7692,2046,9642,7843
+,596,5259,5957,4043,5343,9588,5044,9459,6367,1787
+,4065,8681,5317,8919,5345,6453,7380,5296,604,9828
+,9827,9252,2412,8417,9740,8240,9028,921,2661,9364
+,2689,8925,7732,7893,60,3300,5869,8788,5964,8394
+,4236,9586,635,4794,8871,9535,8673,1597,1969,3407
+,814,1555,6221,5982,4776,1750,4056,9257,4019,2001
+,5449,3973,4972,2300,744,9745,9514,8511,4158,6388
+,8976,1814,4485,4647,9812,6544,7684,5475,8205,829
+,97,2199,1680,4497,6996,3788,424,8095,9298,4886
-,9736,5886,4245,1043,2360,2116,1943,9524,2129,5725
+,5471,2948,9689,7294,3235,5297,550,1099,8596,6121
+,9529,1008,4585,2753,7752,5601,7211,9136,3699,7114
+,1077,6954,8141,1550,1087,9852,6086,8298,5249,8268
+,6119,8054,7857,695,4181,5914,976,8735,5160,4371
+,768,9913,1814,3363,6992,5713,807,9553,2869,1210
+,3549,4431,1317,7292,1483,3094,7584,563,1164,3964
+,7256,8025,9225,7975,2960,6118,2997,3189,1482,3000
+,4066,7243,5632,6199,5364,1998,2716,9809,4111,3575
+,3498,1719,4139,2116,4896,1924,6912,9765,3582,7653
+,5040,1102,3052,6329,3086,6136,1749,2852,2766,7944
-,5,5043,901,7879,5616,5088,3603,8507,9353,5215
+,184,8102,1298,998,2292,1874,8115,8588,3302,3757
+,9107,4493,5518,8958,1314,8376,3983,233,6803,809
+,4914,7326,4007,1077,5063,9597,6569,2848,200,3353
+,1718,4235,1096,2412,4296,7243,8771,5081,6458,5529
+,2419,5778,3614,7725,7999,8139,6412,8682,5199,6016
+,511,8643,8640,5656,629,4254,4364,5345,6199,311
+,482,9905,2373,1519,8029,213,3817,2121,6432,2666
+,9410,9083,2756,9842,5208,8580,2734,2522,3796,3255
+,9042,1478,2175,9035,2311,3767,7096,7910,3345,1537
+,1917,505,6721,2635,3739,5619,2889,5532,9027,6704
-,8388,4274,344,2813,1723,7068,3908,4637,7466,4902
+,572,2448,9399,7599,4196,8305,1413,6637,2011,8509
+,4097,2889,285,4119,8909,7838,182,7387,6581,2022
+,5013,7579,9714,2882,6802,7395,7631,799,8908,6829
+,4695,6992,7493,3495,5454,2231,3092,5351,4191,9163
+,8141,8530,8749,1859,8405,3006,2264,3130,7707,4943
+,5549,7973,663,5295,7750,8589,8742,3741,1044,5906
+,9182,2189,3671,1482,1032,2158,2359,6080,1359,8203
+,8980,990,4064,66,1785,2496,4068,3108,5129,3374
+,8907,6809,3412,4679,26,8983,1714,3525,3108,5862
+,320,317,1071,5411,1823,9691,2879,8166,4797,3446
-,17,2077,9162,7022,194,9699,9458,406,2501,5146
+,1895,3823,9678,3333,3100,4497,9337,6246,2045,3581
+,8429,9457,7957,8443,8198,4923,2836,8125,1919,4536
+,7743,8589,4783,7898,3085,7032,5056,4396,6791,3196
+,3622,1858,6597,3536,934,4465,4781,2487,7351,6119
+,6524,9979,6240,5184,6279,2045,7909,3696,5481,6894
+,6196,87,4452,9640,7774,540,7633,4758,123,2373
+,6166,1056,5542,4528,9696,8502,1383,7287,2181,3436
+,263,4443,4947,3044,5231,3542,6287,4493,2505,3475
+,5409,2588,2879,3761,3513,5253,458,366,4418,1754
+,9370,7273,5527,7876,6238,7871,7929,1529,5590,3777
-,6545,3038,5870,4627,8104,4971,3144,2765,3268,8211
+,1785,9172,6594,7573,7823,9484,5631,8269,9480,2609
+,1800,4111,6625,7822,380,2878,9186,826,6421,3089
+,9356,3029,2565,2531,7165,4004,2279,5544,6642,3440
+,4331,7901,2336,304,9365,7604,2667,4851,5560,1917
+,6004,6513,2005,5382,6502,940,511,7702,7691,2210
+,2587,3765,6364,3635,164,4784,8961,7124,5784,6847
+,8868,32,5230,6987,6524,2407,5896,7914,3685,4199
+,6373,7281,8961,52,7335,8186,2091,5276,3975,7070
+,6134,9059,9494,473,1846,841,8117,7373,5442,1952
+,2458,3693,6343,1351,4179,9183,6411,3763,9850,5705
-,9413,2213,5810,1862,1170,9331,8025,1222,5650,6074
+,9870,6224,2621,2217,7434,7459,5036,442,4300,3357
+,5293,9902,4522,8179,4346,4452,8927,6646,4081,3897
+,8421,6468,2841,9295,3876,9785,680,1937,3969,715
+,6743,8854,3764,5439,7823,6295,5782,2376,2089,5839
+,9093,9854,6461,7556,9541,2654,1560,2203,1924,2499
+,1743,5625,7027,9078,7580,8215,6699,6562,1868,4012
+,3103,433,2093,5767,727,1400,4677,1552,6709,2843
+,1696,8886,5357,8667,6622,4729,3306,9304,2000,5187
+,8485,981,9690,2374,1777,6815,1091,8517,1697,8376
+,7375,6823,9726,2629,1345,1461,2121,5478,7370,8994
-,8434,2242,8386,630,5610,3679,3882,7964,5045,8106
+,6155,5901,6095,3612,9694,5481,2961,4818,7351,2603
+,3031,4187,4808,3394,741,7969,157,1220,2807,6066
+,9055,474,6817,2101,6223,8225,9470,1675,3075,2962
+,1780,2921,5723,3736,4394,8281,7808,7845,119,4093
+,5056,2116,89,9514,5400,9091,6266,648,9363,4923
+,69,5194,6800,3834,7232,1230,7955,5071,1099,6694
+,4632,9000,6657,974,5752,7662,9971,5442,5508,2163
+,5954,6883,8285,3909,8560,6902,6936,9577,4361,8034
+,3837,7315,7717,314,8163,6020,5778,401,4194,5463
+,5769,7582,7049,4002,5755,2245,466,4984,1973,3976
-,3840,8781,2807,5759,1077,6900,3851,1673,7457,6999
+,7992,1818,4386,9582,5895,3264,5511,7614,7627,6379
+,1966,8587,2456,4461,2724,1847,1501,5379,5002,6796
+,5932,5544,1252,7402,4233,2889,9293,7608,4219,9312
+,54,6227,4402,6359,5628,3668,1786,3194,5787,9245
+,3407,8159,7440,2736,6439,7145,9066,5711,2431,2678
+,8546,5011,7996,9603,6582,7232,6208,9126,7317,5146
+,9151,1942,4798,5144,7668,8226,990,4104,5890,4727
+,8903,643,5868,5401,4416,6074,1366,412,443,649
+,1896,9439,4799,7137,459,7118,7507,900,6983,4015
+,296,6667,9027,4343,535,7323,7573,1456,4032,670
-,3007,8937,2929,6938,7885,7162,2029,5353,5905,7605
+,770,5796,9752,1422,8808,4992,7293,4452,9084,7652
+,2043,8827,9387,3529,3205,4174,6815,5539,2746,7758
+,231,4007,9562,787,3893,6935,9964,6027,6342,7468
+,7635,8355,624,383,6771,8588,4444,4965,3754,8836
+,8039,2640,4170,9618,3506,8396,7538,9386,6328,508
+,1521,430,2923,448,1716,865,8890,9815,7755,4058
+,8339,8367,2064,9698,9313,7843,8848,2260,933,8003
+,1868,4967,7359,3804,9316,8507,9136,1395,1327,6566
+,8497,1959,1138,5757,1326,2209,796,8526,2271,6041
+,4478,167,601,7096,2562,5234,1740,8530,5434,3004
-,459,8378,2983,5666,8367,3301,2834,2236,610,6561
+,1429,795,8803,7946,1963,5015,6737,3555,2260,4255
+,9960,5176,6321,2312,4610,5772,6747,138,1413,8614
+,7089,5202,6975,8980,1489,4698,5277,2908,351,9195
+,8989,7289,6505,4141,3064,1263,1828,5738,5950,8019
+,2288,3199,7944,7761,7454,1572,927,5768,2295,3343
+,3114,3966,4949,7384,6776,5554,6868,3190,5786,2708
+,7966,2456,2780,3714,9976,3996,2668,8386,9101,5424
+,504,6478,2918,348,4063,6454,5600,610,2247,4738
+,2905,7650,8492,8325,8686,1849,2323,5030,4612,5844
+,4057,5812,7259,675,3780,2871,3886,7976,2330,7544
-,9372,3269,8885,2316,4622,1600,15,2635,9761,4378
+,3932,4612,7147,9003,6651,4024,2431,3271,8937,7323
+,5682,2827,2240,6882,3063,9662,4167,863,6671,9644
+,915,8389,1563,5976,9989,5062,2792,1930,6255,3216
+,8222,5430,7555,6605,9762,2147,6378,76,7612,2118
+,5894,4664,5249,7569,1758,9224,6975,993,4605,7277
+,1699,7266,7182,4186,298,7397,1486,3199,1332,3054
+,2639,380,7651,571,5701,1193,5193,4318,177,6402
+,8241,6866,7012,4819,8215,732,1199,5611,5185,5834
+,4945,6069,37,6759,7167,7740,8447,2275,8340,1167
+,8784,1835,5384,2031,3324,2000,7826,4004,5733,7678
-,4768,2167,6405,7443,2313,3275,4183,6438,1999,307
+,7132,7927,9042,9912,2354,507,9797,7197,6368,7517
+,145,9299,8720,2319,1960,6602,7000,5488,8882,1199
+,0,6377,7196,4568,7980,2814,6643,1339,2680,1638
+,6420,1111,1769,1576,4350,3885,7303,6844,5548,7795
+,9393,8930,2873,1857,3063,9142,1238,5603,4003,1265
+,7620,400,1419,8113,8554,4395,8228,1003,5814,247
+,8314,199,3021,3880,450,7563,6103,8683,1242,4042
+,5224,4184,3626,5578,9027,6036,3252,5398,6642,1888
+,5601,3496,9153,3355,9049,5115,9809,9994,7032,1325
+,1953,8892,9808,3584,3174,3544,4280,9925,7015,5489
-,9696,2696,7720,803,2035,1534,110,9015,6382,6854
+,5229,478,443,9063,7447,5986,2026,1958,648,9521
+,3437,8792,1940,6680,9680,3518,1974,6783,2951,9442
+,5931,8981,5463,1465,5966,2625,3595,6042,274,1849
+,8929,2614,3496,129,7223,5693,616,4492,4561,4412
+,8329,3816,703,5268,2563,8324,6156,5547,2315,6112
+,2183,7239,9894,7490,1294,9378,9549,1730,5114,9157
+,1974,1262,1017,2325,9515,4152,9976,598,118,1899
+,3345,4456,5517,5270,412,1783,4797,1559,9964,6572
+,6270,449,6777,6327,3242,3887,8933,23,4491,6264
+,6908,9066,5458,2041,9507,6693,7224,8133,5062,126
-,8709,481,6726,3194,8315,2685,2600,9891,3261,9715
+,8937,5887,6857,1869,4887,3257,5016,3473,1032,8056
+,8909,7042,2194,5225,4956,6630,3632,4522,5645,9687
+,2123,2938,4904,4784,4974,2872,4492,7850,3890,2398
+,4776,3681,2032,100,9886,7791,9914,4950,4757,1910
+,7768,5160,9314,9702,1811,9212,3090,992,1471,3715
+,5095,9252,780,2105,8994,7487,6056,2434,8797,2894
+,5240,2563,2726,1506,6346,7594,3825,7026,3592,5169
+,130,8318,6890,3232,7169,9035,9568,6697,4509,7238
+,4508,3580,3694,492,7399,8359,3155,6715,62,6267
+,1051,1119,7855,7918,2089,3070,3397,1048,4535,3770
-,9471,1609,8569,7062,4780,5573,4354,6265,1716,8862
+,6594,5349,4113,8516,799,5336,7760,8864,3250,606
+,2300,496,7318,2492,3747,6839,9864,823,4060,5454
+,6919,9490,7420,1206,8548,565,2639,9576,3053,7051
+,9307,6290,6171,6997,1727,5488,7814,6191,2417,4578
+,3228,770,2187,9175,2025,8879,9038,5648,8420,9815
+,4653,3115,247,2093,5059,2423,878,1868,5756,5791
+,2421,8725,9121,6774,2126,1031,3763,3765,7367,6636
+,2908,1925,3841,2761,8979,8478,6395,8349,2974,510
+,7526,9006,313,6077,7142,6141,3744,2119,8131,8973
+,1442,7711,6901,3479,5846,7632,9403,7719,3855,3520
-,5295,9269,7144,4034,1102,6108,4113,3127,3418,9931
+,3017,8275,6552,7347,6784,2339,323,9946,7523,4444
+,7952,6061,4099,1661,4507,5709,1934,8356,7795,8357
+,9558,7613,7003,7406,189,8606,5849,5865,7214,7369
+,695,6187,8200,9347,2129,1502,5001,8145,8074,823
+,5750,1079,8660,2767,6917,9957,3836,9464,3483,9579
+,2603,3460,2914,2143,947,7863,5435,1082,6625,8374
+,8927,3756,3446,7735,5435,7522,1918,6734,7849,7122
+,9937,519,4189,7465,6757,3356,4309,7799,900,6170
+,3690,4230,9107,2307,6089,7920,2423,5511,8189,5344
+,4231,5037,3850,5695,4219,6790,3210,9598,4648,1895
-,3519,8704,3777,8847,6156,4596,6158,5941,883,1245
+,536,2298,4169,5384,8819,7140,2529,7059,1791,3801
+,8744,6956,2006,9313,7886,6903,3732,7066,6909,1706
+,7264,7386,7450,4121,3783,5267,8653,5146,8223,8934
+,2704,8351,885,2260,7503,2341,500,1992,6785,3935
+,4299,156,5052,4938,9674,8383,354,7915,6463,3058
+,8237,15,7438,5072,288,3672,6328,5097,8256,9510
+,2122,3641,3686,8899,7373,110,6822,4742,9,3714
+,3214,9242,4288,4416,280,2912,8188,2496,5626,5970
+,246,4606,5537,7525,3506,5020,9530,9829,7981,9575
+,4349,3214,8786,9817,6840,7077,5871,3587,3209,2283
-,7512,9824,2653,1107,5904,5552,7116,8016,3524,3
+,2812,8829,8664,4054,169,2429,5669,6465,2234,4312
+,4962,6422,5000,189,8465,6712,8066,7149,7977,910
+,9572,8781,8878,2896,3161,5185,9025,205,1882,6544
+,3823,3036,8871,718,6900,9050,6172,6628,6101,2177
+,5154,9513,3859,8199,2080,7085,5348,1836,7053,5584
+,5541,5684,9371,1413,5559,80,8762,1400,8413,7689
+,8292,3611,2319,9815,8449,7992,2184,5751,8730,8661
+,8513,8325,9467,6716,4072,6007,8675,7683,2780,5642
+,112,6699,3028,8255,2772,4376,5649,667,2172,1341
+,9226,2823,8139,5020,7555,9413,9513,1744,6630,2501
-,3119,1460,6091,3735,1223,3531,571,8516,7553,7245
+,1342,9267,1173,4820,1505,9201,7652,3347,8547,4754
+,1133,5971,5657,7457,6170,1838,5133,3357,4342,9794
+,4476,7609,9724,5565,5705,3541,4194,335,8316,9752
+,7913,6116,8759,7180,9779,7879,7032,7977,9513,3386
+,6412,2745,8504,905,4619,3209,5421,8166,7302,5092
+,3611,3769,1837,2706,5497,1667,4061,7225,1519,1705
+,7406,5147,2171,7810,746,7808,4699,7901,2988,1513
+,1433,2004,4761,217,2252,3829,3098,7634,1538,9617
+,9977,5926,3634,5933,3041,5239,9217,979,9205,7890
+,75,4642,9727,7925,4407,3088,6154,8324,9598,8993
-,6574,7230,292,8547,9595,3582,5829,5954,5206,105
+,2190,4137,9513,1732,6411,2145,24,5603,6450,1864
+,5987,2976,8872,6897,2510,6813,8840,5217,878,6080
+,3282,1225,3788,5225,558,6872,8461,3917,5462,6573
+,5821,5665,74,1461,926,2057,8938,9702,1450,9383
+,4303,9950,641,2116,8977,6087,6669,527,2301,2326
+,7721,1412,9222,714,3036,5590,1663,5792,8297,7453
+,6589,6092,7609,4482,3843,5711,7073,9496,3333,996
+,5311,152,3659,5533,6875,8583,4899,1544,1040,7130
+,8856,2013,1634,4388,9547,4916,5236,6570,3535,6426
+,2594,4027,8226,8378,1144,4757,2061,6567,6949,7603
-,318,2598,2790,7815,9002,5660,951,7847,6176,6914
+,6603,2622,836,5413,9299,50,6057,9262,6221,5603
+,9611,8397,8562,7226,1828,1669,1620,4366,7692,1499
+,7920,1474,4116,4752,6626,8824,9953,4415,5887,2358
+,2784,3663,5830,4357,8428,7734,9413,2778,6697,746
+,2164,8835,7587,6577,3677,1515,9861,3580,7967,9817
+,1551,4932,6025,2680,4740,4778,5861,959,8370,3817
+,6654,4390,6846,1249,1359,5061,4917,5544,4819,8975
+,4064,5812,85,8830,1651,4516,8021,1061,9479,2913
+,2371,3364,9911,6888,2548,3537,7678,4542,1798,6122
+,8613,9324,670,8519,3043,4986,3539,7648,5514,6891
-,454,4070,3565,7294,6362,7465,4054,2219,2518,4841
+,806,1937,1796,5753,3930,3105,3675,9762,820,4877
+,3860,1235,8509,951,5808,586,3232,8128,7180,3645
+,8159,8125,1739,8662,8968,1088,1871,7652,19,8600
+,4210,6073,2122,5654,1767,9616,3465,5589,629,901
+,3505,3130,4526,2750,8384,5410,481,52,3140,6582
+,9340,2326,487,215,9734,8782,3641,1070,9657,9394
+,8117,908,6093,8336,4444,2715,2177,452,3620,1833
+,8573,2016,6211,5624,5716,8198,1389,2546,9061,7966
+,3623,6057,9866,9243,7267,8436,6920,873,9666,8029
+,6048,8772,4199,9772,3215,7461,1762,4354,226,9435
-,5535,1049,8104,3260,1674,6448,983,3886,3127,7600
+,3029,5359,651,7940,6057,2133,8103,278,7778,1504
+,4772,9855,1963,1617,5068,1237,906,6202,8359,9418
+,4811,2903,5817,3634,862,946,7388,7551,7121,9935
+,9552,4154,5804,6614,1156,7037,2482,3752,686,4018
+,6688,1038,6465,5105,3277,2946,2533,3697,6743,5544
+,6409,3201,4174,2827,4484,9551,6720,7280,6896,2986
+,7940,9744,9461,7685,8762,6142,2635,5792,9189,8968
+,1020,372,1813,8187,4113,9677,1686,7037,4577,8361
+,5139,9515,9209,6812,894,4792,3866,9857,5592,8331
+,2009,1819,5690,9893,4346,6101,8722,555,6023,809
-,100,3870,2875,2382,160,5973,4282,9018,2142,624
+,2380,7323,5332,9795,9836,6374,9953,3709,4320,8626
+,553,715,4505,4718,2520,9842,7183,2340,8412,437
+,4796,2606,5579,5073,6312,2970,3062,31,1415,9384
+,8472,5159,8897,935,5335,9366,118,4707,4591,9779
+,6099,4842,2564,877,4357,743,1473,4277,4650,7412
+,2628,5405,8843,6030,4382,3876,8364,2904,2425,9038
+,4967,2050,2868,8778,8728,4716,9073,5882,7679,8291
+,7947,9608,5301,5774,6658,4392,6312,1035,1910,7781
+,5464,244,1598,3994,7994,130,2554,1260,9322,4576
+,6511,3465,1385,9852,7301,8193,148,9061,3826,248
-,9951,7544,6385,5719,7910,7935,2807,9419,918,7826
+,8413,4484,6412,8426,8973,7186,9682,631,8147,464
+,3171,8649,3032,1185,2817,7614,5221,2064,894,3923
+,5157,8340,4054,9121,2516,8439,501,7622,2283,584
+,5739,6094,5085,9210,91,665,8019,9374,1874,6789
+,7125,9657,7255,4623,3707,9712,8520,4616,2883,9575
+,3884,4692,7195,8827,2346,3863,6062,4591,768,2141
+,2012,8455,154,133,2391,64,9839,5303,9353,2093
+,5794,2815,2885,6811,3076,8827,4297,8411,4711,9881
+,4173,7508,7896,8640,2,1421,2428,2151,4450,3534
+,3742,6873,4811,6842,5710,8609,6129,3534,4566,9401
-,875,148,7763,7321,738,1350,179,7973,1635,4936
+,2546,1667,7147,7587,1890,7495,758,1172,5702,2565
+,9442,9706,2204,7904,1961,4145,2270,9339,5271,6772
+,7307,197,6756,1971,9140,5003,5416,9795,6818,1815
+,5216,1681,2639,9502,6338,8637,1873,4835,4238,9793
+,6997,4635,5090,3172,6897,7021,788,9315,9735,7400
+,5766,2601,6119,1705,2322,3503,6675,4558,6547,4379
+,5262,5303,6722,8211,9871,8680,3024,8320,5001,8680
+,7922,4821,2537,9437,506,630,9311,5723,1201,5391
+,4979,3387,6868,2555,9891,8205,8827,1708,2920,1661
+,7543,7383,5974,7625,9824,829,606,7186,9327,5715
-,2516,5784,7603,1077,35,9401,7316,2706,8432,6995
+,3120,9068,5520,7532,8062,3837,4111,689,375,5127
+,1855,6355,9328,5356,2180,692,8691,3119,9886,5866
+,1629,3152,1928,8138,4676,5166,8233,8506,9978,1492
+,2346,4101,4941,4489,3135,8623,6441,6205,2229,2452
+,3049,3602,1846,7,7957,7009,7451,2720,6982,7639
+,962,8805,7956,8248,5621,2464,5281,8689,5901,2294
+,3287,7805,423,2316,6546,1933,5523,3276,5622,1561
+,6771,73,8071,1593,8065,4420,9922,549,4220,3490
+,2544,6714,116,262,7581,6374,6518,8435,4148,6349
+,7854,9085,3439,8272,5977,1575,9503,2524,9034,8683
-,3531,7109,8651,470,4240,6910,7236,6774,7078,2630
+,7906,6230,2134,2685,8036,4877,1282,859,7872,4746
+,6756,1488,3522,9004,5210,6456,9451,7924,9834,8824
+,8677,7246,9500,7756,6939,1752,2256,4515,6859,5749
+,4965,7945,2649,5619,9655,8057,4088,4319,2751,2625
+,5437,9058,8947,3440,9360,814,6303,7753,2118,4121
+,7023,6890,6763,539,6289,1613,1052,5018,1074,4858
+,6193,87,8845,1761,1721,5713,8350,6452,5484,2691
+,6406,7626,7932,2428,5400,9066,8680,2235,1654,6708
+,8845,6366,5732,3559,5302,9799,8207,4321,3689,9736
+,9298,5625,8169,2245,1962,9358,9212,9532,4687,9341
-,3213,9185,1040,2347,8401,279,1280,6516,552,7412
+,9470,2948,1845,5208,5610,4524,8236,4291,1737,2652
+,7857,7077,6899,6076,7078,7467,3473,7195,8479,1621
+,7044,8124,493,197,5239,8399,258,755,1944,4725
+,6563,8010,3830,3439,1160,747,4540,7851,9353,7937
+,1719,2346,7169,5047,3617,9370,7726,7388,4264,1326
+,3630,8674,8714,1774,2007,8284,4932,3014,5551,772
+,1663,7942,4757,2258,4172,4699,5290,1254,3199,6910
+,8641,9068,1096,8635,4028,2600,3878,1137,3776,5996
+,6623,23,6237,9800,9271,9113,8367,6553,4145,917
+,9220,7371,5552,3501,7526,3983,3587,8652,3409,9666
-,9591,5649,4057,2364,276,1598,3767,4510,1176,9800
+,7912,1335,7798,3186,8409,8871,3007,8736,7228,1239
+,8332,9723,9894,7601,5070,4687,9541,5809,8201,3343
+,5507,5071,2819,6325,9866,9809,4912,6606,9673,4713
+,766,591,4634,6813,9573,1248,5312,3421,1232,1996
+,8318,5611,9966,4848,208,716,2908,2484,9304,7820
+,4205,8990,1329,2528,1688,3209,4040,255,4353,961
+,7894,545,7739,2684,6359,832,3102,2161,7874,3084
+,9844,1198,4950,5281,5908,8276,9025,7722,8150,9998
+,4269,9224,3703,7019,1581,1240,6431,6484,1602,4977
+,9804,5005,8187,6787,1078,1782,9113,756,9700,1345
-,743,3707,7716,8754,5074,1282,9990,1979,5235,4870
+,1933,5578,7274,3526,8049,7103,7077,3106,5418,6705
+,5468,9622,4694,2332,9354,9740,6263,5291,4967,754
+,4137,4557,9966,1020,1560,7497,3539,4376,2967,1660
+,7837,6877,2509,3224,555,785,4301,5946,159,9111
+,677,3864,3299,1124,1386,6047,9715,7912,6803,8645
+,1720,5351,2167,6884,9335,4955,9372,749,6474,2982
+,685,1738,7731,8034,2444,8355,6280,9779,7275,4074
+,9762,5093,8913,3173,3229,6704,1139,6730,138,6041
+,1287,2929,2039,3453,6701,146,4386,4930,6258,5832
+,5051,8599,2348,3909,7587,4303,2000,3894,2918,763
-,3476,4893,3732,5175,4316,3947,3543,4788,9822,410
+,6480,3006,6434,8088,3892,9941,1472,3427,4393,3115
+,1862,9871,4518,5279,5201,5228,2412,1888,1427,2640
+,7487,8108,5938,4394,5333,3937,6587,5580,416,3513
+,4358,7287,484,4472,3456,7451,4924,8012,1015,6039
+,6785,6493,2030,6527,5834,7902,3803,8234,4181,3800
+,2801,2632,4280,8722,2836,2673,1302,5567,7531,6777
+,4908,8080,7441,8894,8468,6586,9936,8444,9647,6123
+,7481,9181,4037,5019,9196,6127,8470,4373,4947,2226
+,9954,8267,7256,3970,9150,7618,8552,1280,9599,505
+,2589,1654,1993,3241,884,6537,2885,8652,6888,5318
-,5599,2734,5720,6061,826,5727,9934,1384,5654,1861
+,122,3384,6509,698,7433,3531,5503,2378,3123,8758
+,2907,8779,5782,9155,7171,1779,7716,9577,8192,5579
+,732,2889,9813,1306,333,882,7224,1716,4166,6498
+,7138,209,9262,1442,2748,3761,5927,8534,4470,5747
+,547,4491,9873,4652,1986,3097,9836,1762,9565,7781
+,5429,4470,7426,4603,2222,4736,4849,724,6639,3719
+,2815,1230,154,6140,5355,8857,9867,4212,969,4522
+,3520,2743,7242,9968,7199,4641,2750,2591,8835,2228
+,2534,9977,438,5568,3626,847,2640,3881,5422,4494
+,5087,6319,8679,1566,3697,8626,7942,6490,7652,7491
-,1487,9349,3150,6762,8108,9050,8217,7052,6003,3096
+,9389,2064,3883,3515,8742,2387,4895,6207,3963,3917
+,972,7727,5704,8902,955,2624,5067,9145,1864,8880
+,3558,3047,5634,8989,5246,6201,6430,3739,8346,7345
+,7749,7652,1359,2583,7066,295,9534,3803,4797,5602
+,8273,9231,2414,7005,3914,3504,974,1232,3674,8460
+,5090,2803,1567,2279,4391,6585,157,5032,1770,7544
+,2277,6913,3688,5065,4558,1589,2108,364,3750,9236
+,6149,2808,7639,3928,6262,3583,110,9829,8861,5282
+,2655,492,382,5236,2248,5798,8501,9068,3053,7136
+,1052,1619,6866,9571,7413,1000,1351,9806,8148,3275
-,5051,8599,2348,3909,7587,4303,2000,3894,2918,763
+,2777,2961,6759,6804,3900,8753,5868,4841,5083,7235
+,108,9141,8544,8218,9349,1628,8286,5904,6194,5987
+,8075,1466,264,9750,6294,2529,2957,7836,28,325
+,2310,7210,1248,1984,5199,748,1483,1593,3282,2604
+,9603,1133,2905,1286,4697,6073,7042,5875,8402,7241
+,8954,2624,9463,7386,3926,3543,2321,9545,2968,2756
+,8601,4482,46,1558,9392,5993,2884,1525,9531,7118
+,8468,7316,4573,1393,3395,5679,1784,1068,3275,1373
+,6788,8891,8475,1391,3468,6056,3098,6424,8676,2935
+,1076,748,7076,2615,5857,9218,361,8892,9032,341
-,7476,7844,2111,9707,4359,8409,5599,1436,6743,8876
+,4883,5014,2245,1277,4038,7258,9297,8144,5817,5363
+,2910,2644,3141,528,969,9709,9252,5682,7512,8279
+,3318,6371,7044,4426,8831,122,2151,2924,7627,3096
